parking_start,session,start_hour,charged_time,connected_time,parking_end,supplied_energy,battery_start,initial_soc,laxity
2018-01-01 05:00:00,19,5,1,1,2018-01-01 06:00:00,11.0,37.9305993298244,47.4132491622805,-2.8244909700159635
2018-01-01 06:00:00,17,6,5,6,2018-01-01 12:00:00,36.36561271523157,43.63438728476843,54.542984105960535,2.694035207706221
2018-01-01 07:00:00,10,7,1,1,2018-01-01 08:00:00,11.0,39.81090359093741,49.763629488671754,-2.65355421900569
2018-01-01 08:00:00,9,8,3,3,2018-01-01 11:00:00,33.0,40.68940551696171,50.86175689620214,-0.5736904075489351
2018-01-01 09:00:00,21,9,1,1,2018-01-01 10:00:00,11.0,57.68411999707972,72.10514999634965,-1.0287163639018435
2018-01-01 10:00:00,3,10,2,2,2018-01-01 12:00:00,22.0,51.42107723364107,64.27634654205134,-0.5980838878508115
2018-01-01 11:00:00,8,11,6,10,2018-01-01 21:00:00,35.99899407116875,44.00100592883125,55.00125741103906,6.727364175348296
2018-01-01 13:00:00,13,13,3,8,2018-01-01 21:00:00,33.0,35.271194148887645,44.088992686109556,3.9337449226261496
2018-01-01 14:00:00,1,14,2,9,2018-01-01 23:00:00,22.0,23.155587164609237,28.944483955761548,3.832326105873567
2018-01-01 15:00:00,7,15,10,12,2018-01-02 03:00:00,35.88608872585992,44.11391127414008,55.1423890926751,8.737628297649099
2018-01-01 16:00:00,16,16,3,11,2018-01-02 03:00:00,28.34736810113334,51.65263189886666,64.56578987358333,8.422966536260606
2018-01-01 17:00:00,12,17,4,4,2018-01-01 21:00:00,44.0,28.200252956298726,35.25031619537341,-0.7090679130637518
2018-01-01 18:00:00,5,18,3,3,2018-01-01 21:00:00,33.0,44.63781489248045,55.79726861560056,-0.21474410068359573
2018-01-01 20:00:00,11,20,2,2,2018-01-01 22:00:00,22.0,50.23618386112887,62.795229826411095,-0.7058014671701018
2018-01-01 21:00:00,22,21,4,6,2018-01-02 03:00:00,33.23387887091422,46.76612112908578,58.457651411357226,2.978738284462344
2018-01-02 00:00:00,42,0,4,5,2018-01-02 05:00:00,44.0,28.811932845516957,36.0149160568962,0.3465393495924509
2018-01-02 04:00:00,32,4,6,8,2018-01-02 12:00:00,57.609943573358024,22.390056426641976,27.98757053330247,2.7627324024219977
2018-01-02 05:00:00,28,5,4,7,2018-01-02 12:00:00,44.0,27.14491373934856,33.9311421741857,2.194992158122597
